horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q102236895,John Gund,,,,
http://www.wikidata.org/entity/Q102236900,Old Ben,,,,
http://www.wikidata.org/entity/Q102236902,Surprising,,,,
http://www.wikidata.org/entity/Q102236906,Watermelon,,,,
http://www.wikidata.org/entity/Q102236910,Pebbles,,,,
http://www.wikidata.org/entity/Q102236913,Sharpshooter,,,,
http://www.wikidata.org/entity/Q102236915,Royal II,,,,
http://www.wikidata.org/entity/Q102236919,Emerson Cochran,,,,
http://www.wikidata.org/entity/Q102236924,Leo Ray,,,,
http://www.wikidata.org/entity/Q102236977,Double Eagle,,,,
http://www.wikidata.org/entity/Q102236981,Dortch,,,,
http://www.wikidata.org/entity/Q102236984,For Fair,,,,
http://www.wikidata.org/entity/Q102236988,Ed Crump,,,,
http://www.wikidata.org/entity/Q102236991,Little String,,,,
http://www.wikidata.org/entity/Q102236994,Goldcrest Boy,,,,
http://www.wikidata.org/entity/Q102236998,Uncle Bryn,,,,
http://www.wikidata.org/entity/Q102237001,Tetan,,,,
http://www.wikidata.org/entity/Q102237005,Norse King,,,,
http://www.wikidata.org/entity/Q102237007,Booker Bill,,,,
http://www.wikidata.org/entity/Q102237011,Star Hawk,,,,
http://www.wikidata.org/entity/Q102237015,Franklin,,,,
http://www.wikidata.org/entity/Q102237016,Dodge,,,,
http://www.wikidata.org/entity/Q102237019,Thunderer,,,,
http://www.wikidata.org/entity/Q102237021,The Cock,,,,
http://www.wikidata.org/entity/Q102237024,Dominant,,,,
http://www.wikidata.org/entity/Q102237025,Kinney,,,,
http://www.wikidata.org/entity/Q102237029,Lena Misha,,,,
http://www.wikidata.org/entity/Q102237032,Ticket,,,,
http://www.wikidata.org/entity/Q102237036,Midway,,,,
http://www.wikidata.org/entity/Q102237039,Rickety,,,,
http://www.wikidata.org/entity/Q102237083,War Star,,,,
http://www.wikidata.org/entity/Q102237086,Manister Toi,,,,
http://www.wikidata.org/entity/Q102237089,Skeptic,,,,
http://www.wikidata.org/entity/Q102237092,Guy Fortune,,,,
http://www.wikidata.org/entity/Q102237097,Star Master,,,,
http://www.wikidata.org/entity/Q102237099,Stargazer,,,,
http://www.wikidata.org/entity/Q102237106,Green Jones,,,,
http://www.wikidata.org/entity/Q102237109,Top o' the Wave,,,,
http://www.wikidata.org/entity/Q102237112,Berlin,,,,
http://www.wikidata.org/entity/Q102237114,Acabado,,,,
http://www.wikidata.org/entity/Q102237120,Escoba,,,,
http://www.wikidata.org/entity/Q102237122,Viva America,,,,
http://www.wikidata.org/entity/Q102237126,Lucky B.,,,,
http://www.wikidata.org/entity/Q102237131,Jas. T. Clark,,,,
http://www.wikidata.org/entity/Q102237134,Sewell Combs,,,,
http://www.wikidata.org/entity/Q102237138,American Eagle,,,,
http://www.wikidata.org/entity/Q102237141,Under Fire,,,,
http://www.wikidata.org/entity/Q102237143,Vulcanite,,,,
http://www.wikidata.org/entity/Q102237191,Sennings Park,,,,
http://www.wikidata.org/entity/Q102237195,Be Frank,,,,
http://www.wikidata.org/entity/Q102237197,Sailor,,,,
http://www.wikidata.org/entity/Q102237201,St. Bernard,,,,
http://www.wikidata.org/entity/Q102237205,Regalo,,,,
http://www.wikidata.org/entity/Q102237209,Eternal,,,,
http://www.wikidata.org/entity/Q102237212,Frogtown,,,,
http://www.wikidata.org/entity/Q102237216,Vindex,,,,
http://www.wikidata.org/entity/Q102237220,On Watch,,,,
http://www.wikidata.org/entity/Q102237222,Damask,,,,
http://www.wikidata.org/entity/Q102237224,Donnacona,,,http://www.wikidata.org/entity/Q7244192,Prince Palatine
http://www.wikidata.org/entity/Q102237227,Blazes,,,,
http://www.wikidata.org/entity/Q102237229,By Golly,,,,
http://www.wikidata.org/entity/Q102237232,Bersagliere,,,,
http://www.wikidata.org/entity/Q102237236,Patches,,,,
http://www.wikidata.org/entity/Q102237240,Herron,,,,
http://www.wikidata.org/entity/Q102237242,Sandy Beal,,,,
http://www.wikidata.org/entity/Q102237245,Prince Pal,,,,
http://www.wikidata.org/entity/Q102237248,David Harum,,,,
http://www.wikidata.org/entity/Q102237253,Peace Pennant,,,,
http://www.wikidata.org/entity/Q102237304,Sterling,,,,
http://www.wikidata.org/entity/Q102237315,Prudery,,,,
http://www.wikidata.org/entity/Q102237318,Tryster,,,,
http://www.wikidata.org/entity/Q102237320,Careful,,,,
http://www.wikidata.org/entity/Q102237325,Coyne,,,,
http://www.wikidata.org/entity/Q102237327,Leonardo II,,,,
http://www.wikidata.org/entity/Q102237330,Uncle Velo,,,,
http://www.wikidata.org/entity/Q102237337,Bon Homme,,,,
http://www.wikidata.org/entity/Q102237342,Planet,,,,
http://www.wikidata.org/entity/Q102237346,Star Voter,,,,
http://www.wikidata.org/entity/Q102237350,Muskallonge,,,,
http://www.wikidata.org/entity/Q102237355,Bet Mosie,,,,
http://www.wikidata.org/entity/Q102237359,John Finn,,,,
http://www.wikidata.org/entity/Q102237365,Deadlock,,,,
http://www.wikidata.org/entity/Q102237370,My Play,,,,
http://www.wikidata.org/entity/Q102237372,Letterman,,,,
http://www.wikidata.org/entity/Q102237376,Surf Rider,,,,
http://www.wikidata.org/entity/Q102237382,Startle,,,,
http://www.wikidata.org/entity/Q102237482,By Gosh,,,,
http://www.wikidata.org/entity/Q102237485,Busy American,,,,
http://www.wikidata.org/entity/Q102237491,Martingale,,,,
http://www.wikidata.org/entity/Q102237492,Vigil,,,,
http://www.wikidata.org/entity/Q102237498,Nassau,,,,
http://www.wikidata.org/entity/Q102237500,Chittagong,,,,
http://www.wikidata.org/entity/Q102237504,Enchantment,,,,
http://www.wikidata.org/entity/Q102237507,Rialto,,,,
http://www.wikidata.org/entity/Q102237508,Aspiration,,,,
http://www.wikidata.org/entity/Q102237514,Prince K.,,,,
http://www.wikidata.org/entity/Q102237518,Bright Tomorrow,,,,
http://www.wikidata.org/entity/Q102237523,In Memoriam,,,,
http://www.wikidata.org/entity/Q102237529,Bo McMillan,,,,
http://www.wikidata.org/entity/Q102237533,Better Luck,,,,
http://www.wikidata.org/entity/Q102237535,Wida,,,,
http://www.wikidata.org/entity/Q102237540,Picketer,,,,
http://www.wikidata.org/entity/Q102237544,General Thatcher,,,,
http://www.wikidata.org/entity/Q102237548,Calcutta,,,,
http://www.wikidata.org/entity/Q102237552,The Clown,,,,
http://www.wikidata.org/entity/Q102237558,Golden Rule,,,,
http://www.wikidata.org/entity/Q102237560,Cherry Pie,,,,
http://www.wikidata.org/entity/Q102237562,Pravus,,,,
http://www.wikidata.org/entity/Q102237677,Chilhowee,,,,
http://www.wikidata.org/entity/Q102237680,Beau Butler,,,,
http://www.wikidata.org/entity/Q102237683,Altawood,,,,
http://www.wikidata.org/entity/Q102237691,Bracadale,,,,
http://www.wikidata.org/entity/Q102237693,Transmute,,,,
http://www.wikidata.org/entity/Q102237695,Revenue Agent,,,,
http://www.wikidata.org/entity/Q102237699,Thorndale,,,,
http://www.wikidata.org/entity/Q102237703,Klondyke,,,,
http://www.wikidata.org/entity/Q102237706,King Gorin II,,,,
http://www.wikidata.org/entity/Q102237709,Cannon Shot,,,,
http://www.wikidata.org/entity/Q102237713,Modest,,,,
http://www.wikidata.org/entity/Q102237720,Diogenes,,,,
http://www.wikidata.org/entity/Q102237725,Nautical,,,,
http://www.wikidata.org/entity/Q102237726,Mr. Mutt,,,,
http://www.wikidata.org/entity/Q102237731,Baffling,,,,
http://www.wikidata.org/entity/Q102237738,Wild Aster,,,,
http://www.wikidata.org/entity/Q102237740,Bob Tail,,,,
http://www.wikidata.org/entity/Q102237746,Captain Hal,,,,
